file_name,tumor_type,seed_index,n_mit,n_pool,frac_on_nucleus,arm,lo_um,hi_um,retention_nominal,n_kept,n_tp,recall,depth_90,depth_95,depth_100
201.tiff,canine lung cancer,3,17,23817,0.3335852542301717,apriori,4.0,18.0,,22436,15,0.8823529411764706,,,
201.tiff,canine lung cancer,3,17,23817,0.3335852542301717,insample@1.00,6.064333915710449,20.107271194458008,1.0,21843,17,1.0,1985.0,2115.0,2115.0
201.tiff,canine lung cancer,3,17,23817,0.3335852542301717,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,23766,17,1.0,2121.0,2263.0,2263.0
201.tiff,canine lung cancer,3,17,23817,0.3335852542301717,insample@0.99,6.0701158285140995,20.011201333999633,0.99,21832,16,0.9411764705882353,2112.0,,
201.tiff,canine lung cancer,3,17,23817,0.3335852542301717,lodo@0.99,2.823413163423538,24.682384529113353,0.99,23204,17,1.0,2091.0,2230.0,2230.0
201.tiff,canine lung cancer,3,17,23817,0.3335852542301717,insample@0.98,6.075897741317749,19.91513147354126,0.98,21822,16,0.9411764705882353,2112.0,,
201.tiff,canine lung cancer,3,17,23817,0.3335852542301717,lodo@0.98,3.6195910692214968,21.30833625793457,0.98,22919,17,1.0,2063.0,2201.0,2201.0
201.tiff,canine lung cancer,3,17,23817,0.3335852542301717,insample@0.95,6.093243479728699,19.626921892166138,0.95,21777,16,0.9411764705882353,2103.0,,
201.tiff,canine lung cancer,3,17,23817,0.3335852542301717,lodo@0.95,3.963262927532197,15.015493750572142,0.95,21923,15,0.8823529411764706,,,
201.tiff,canine lung cancer,4,17,16911,0.5916267518183431,baseline,-inf,inf,,16911,17,1.0,1280.0,2250.0,2250.0
201.tiff,canine lung cancer,4,17,16911,0.5916267518183431,apriori,4.0,18.0,,15193,16,0.9411764705882353,1185.0,,
201.tiff,canine lung cancer,4,17,16911,0.5916267518183431,insample@1.00,6.064333915710449,18.826339721679688,1.0,14073,17,1.0,1164.0,2038.0,2038.0
201.tiff,canine lung cancer,4,17,16911,0.5916267518183431,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,16881,17,1.0,1280.0,2250.0,2250.0
201.tiff,canine lung cancer,4,17,16911,0.5916267518183431,insample@0.99,6.0701158285140995,18.640412998199466,0.99,14041,15,0.8823529411764706,,,
201.tiff,canine lung cancer,4,17,16911,0.5916267518183431,lodo@0.99,2.823413163423538,24.682384529113353,0.99,16256,17,1.0,1263.0,2218.0,2218.0
201.tiff,canine lung cancer,4,17,16911,0.5916267518183431,insample@0.98,6.075897741317749,18.454486274719237,0.98,14012,15,0.8823529411764706,,,
201.tiff,canine lung cancer,4,17,16911,0.5916267518183431,lodo@0.98,3.6195910692214968,21.30833625793457,0.98,15818,17,1.0,1236.0,2176.0,2176.0
201.tiff,canine lung cancer,4,17,16911,0.5916267518183431,insample@0.95,6.093243479728699,17.896706104278564,0.95,13867,15,0.8823529411764706,,,
201.tiff,canine lung cancer,4,17,16911,0.5916267518183431,lodo@0.95,3.963262927532197,15.015493750572142,0.95,14596,15,0.8823529411764706,,,
233.tiff,canine lung cancer,0,17,33221,0.4668432617922398,baseline,-inf,inf,,33221,17,1.0,434.0,1328.0,1328.0
233.tiff,canine lung cancer,0,17,33221,0.4668432617922398,apriori,4.0,18.0,,30498,17,1.0,1277.0,17341.0,17341.0
233.tiff,canine lung cancer,0,17,33221,0.4668432617922398,insample@1.00,4.237545967102051,22.36345672607422,1.0,30993,17,1.0,423.0,1291.0,1291.0
233.tiff,canine lung cancer,0,17,33221,0.4668432617922398,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,33168,17,1.0,434.0,1328.0,1328.0
233.tiff,canine lung cancer,0,17,33221,0.4668432617922398,insample@0.99,4.240493888854981,21.64006546020508,0.99,30900,17,1.0,1286.0,17727.0,17727.0
233.tiff,canine lung cancer,0,17,33221,0.4668432617922398,lodo@0.99,2.823413163423538,24.682384529113353,0.99,32148,17,1.0,434.0,1321.0,1321.0
233.tiff,canine lung cancer,0,17,33221,0.4668432617922398,insample@0.98,4.24344181060791,20.916674194335936,0.98,30773,17,1.0,1283.0,17606.0,17606.0
233.tiff,canine lung cancer,0,17,33221,0.4668432617922398,lodo@0.98,3.6195910692214968,21.30833625793457,0.98,31319,17,1.0,1309.0,18138.0,18138.0
