file_name,tumor_type,image_id,seed_index,seed_ann_id,n_retries,contested_seed_tier,base_size,mpp,roi_h,roi_w,match_radius_px,nms_radius_px,pad_px,map_median,mad_scale,n_pre_nms_z1,n_post_nms_z1,n_at_current_z,n_gt_mitotic_eval,null_hit_frac,deep_recall_z1,precision_z1,coverage_z1,shortcut_ok,harness_full_list_recall,r5_n_detections,r5_tp,r5_precision,r5_recall,r5_fp_dup_on_mitotic
300.tiff,canine cutaneous mast cell tumor,300,4,14500,0,False,29,0.2533008895448562,4835,6447,29.609055118110238,29.609055118110238,14,-0.03419354557991028,0.28042261948585506,26135,15820,15819,180,0.015871066014790065,0.9944444444444445,0.011315506669195272,0.9109647937498464,True,0.17777777777777778,48,32,0.6666666666666666,0.17777777777777778,0
301.tiff,canine cutaneous mast cell tumor,301,0,14969,0,False,41,0.2533008895448562,4835,6447,29.609055118110238,29.609055118110238,20,-0.022474195808172226,0.2035910030543804,26849,16688,16687,217,0.01905674438411583,1.0,0.013004134955354468,0.9356804166769034,True,0.17050691244239632,48,37,0.7708333333333334,0.17050691244239632,0
301.tiff,canine cutaneous mast cell tumor,301,1,14753,0,False,51,0.2533008895448562,4835,6447,29.609055118110238,29.609055118110238,25,-0.017068948596715927,0.38105881909132,37925,17636,17635,217,0.01907312319321262,1.0,0.012305075134675362,0.9467197340081402,True,0.1336405529953917,48,29,0.6041666666666666,0.1336405529953917,2
301.tiff,canine cutaneous mast cell tumor,301,2,14823,0,False,19,0.2533008895448562,4835,6447,29.609055118110238,29.609055118110238,9,-0.0019507219549268484,0.025850814581662416,55542,17530,17529,217,0.01905674438411583,1.0,0.01237948542415426,0.9532630682423081,True,0.17511520737327188,48,38,0.7916666666666666,0.17511520737327188,0
301.tiff,canine cutaneous mast cell tumor,301,3,14788,0,False,19,0.2533008895448562,4835,6447,29.609055118110238,29.609055118110238,9,0.0001347028010059148,0.015163191386684774,61441,17659,17659,217,0.01905674438411583,1.0,0.012288351548785322,0.9535169397833083,True,0.1336405529953917,48,29,0.6041666666666666,0.1336405529953917,1
301.tiff,canine cutaneous mast cell tumor,301,4,14817,0,False,27,0.2533008895448562,4835,6447,29.609055118110238,29.609055118110238,13,-0.028705082833766937,0.25393150461316105,38413,16933,16932,217,0.01907312319321262,0.9907834101382489,0.012697850224427121,0.9410280978470056,True,0.19815668202764977,48,43,0.8958333333333334,0.19815668202764977,0
402.tiff,human neuroendocrine tumor,402,0,20254,0,False,29,0.22632094805310524,5412,7215,33.13877952755905,33.13877952755905,14,-0.05574367940425873,0.9205197040557861,39421,15913,15912,104,0.009111185238964216,1.0,0.006535947712418301,0.9252398799128779,True,0.21153846153846154,48,22,0.4583333333333333,0.21153846153846154,0
402.tiff,human neuroendocrine tumor,402,1,20258,0,False,51,0.22632094805310524,5412,7215,33.13877952755905,33.13877952755905,25,-0.1100701093673706,2.2206543522834776,19466,13769,13768,104,0.009111185238964216,1.0,0.007553747821034283,0.8671716081601685,True,0.2980769230769231,48,31,0.6458333333333334,0.2980769230769231,0
402.tiff,human neuroendocrine tumor,402,2,20245,0,False,51,0.22632094805310524,5412,7215,33.13877952755905,33.13877952755905,25,0.011568618938326836,0.9436282421350478,29048,13653,13652,104,0.009117725931885224,1.0,0.007617931438617052,0.8617689958074158,True,0.21153846153846154,48,22,0.4583333333333333,0.21153846153846154,1
402.tiff,human neuroendocrine tumor,402,3,20183,0,False,31,0.22632094805310524,5412,7215,33.13877952755905,33.13877952755905,15,-0.044723816215991974,0.9165974967956543,33243,15446,15445,104,0.009117725931885224,1.0,0.006733570734865652,0.9154288405313659,True,0.28846153846153844,48,30,0.625,0.28846153846153844,0
