file_name,tumor_type,image_id,z,score_cut,n_peaks_pre_nms,n_retained,n_returned_at_k,tp_at_k,lookalike_at_k,unannotated_at_k,precision_at_k,tp_full,lookalike_full,unannotated_full,precision_full,n_gt_mitotic,recall_full,t_z_s
094.tiff,human breast cancer,94,-1.5,-0.07903732939772308,60692,18410,20,10,8,2,0.5,81,102,18227,0.004399782726778925,81,1.0,4.56
094.tiff,human breast cancer,94,1.0,0.047292695757374166,40820,15369,20,10,8,2,0.5,81,102,15186,0.005270349404645715,81,1.0,1.5
094.tiff,human breast cancer,94,2.0,0.09782470581941306,24066,12294,20,10,8,2,0.5,81,102,12111,0.006588579795021962,81,1.0,1.16
094.tiff,human breast cancer,94,3.0,0.14835671588145197,12985,8678,20,10,8,2,0.5,81,102,8495,0.00933394791426596,81,1.0,0.95
094.tiff,human breast cancer,94,4.0,0.19888872594349086,6792,5067,20,10,8,2,0.5,81,102,4884,0.015985790408525755,81,1.0,0.82
094.tiff,human breast cancer,94,5.0,0.24942073600552978,3936,2991,20,10,8,2,0.5,80,101,2810,0.026746907388833167,81,0.9876543209876543,0.81
094.tiff,human breast cancer,94,6.0,0.29995274606756867,2692,2066,20,10,8,2,0.5,80,99,1887,0.03872216844143272,81,0.9876543209876543,0.7
094.tiff,human breast cancer,94,8.0,0.40101676619164645,1483,1205,20,10,8,2,0.5,74,88,1043,0.061410788381742736,81,0.9135802469135802,0.67
094.tiff,human breast cancer,94,10.0,0.5020807863157243,753,663,20,10,8,2,0.5,63,62,538,0.09502262443438914,81,0.7777777777777778,0.69
094.tiff,human breast cancer,94,12.0,0.6031448064398021,326,306,20,10,8,2,0.5,47,43,216,0.15359477124183007,81,0.5802469135802469,0.66
094.tiff,human breast cancer,94,15.0,0.7547408366259187,66,64,20,10,8,2,0.5,32,16,16,0.5,81,0.3950617283950617,0.72
094.tiff,human breast cancer,94,18.0,0.9063368668120354,14,14,14,6,7,1,0.42857142857142855,6,7,1,0.42857142857142855,81,0.07407407407407407,0.7
094.tiff,human breast cancer,94,22.0,1.108464907060191,1,1,1,0,1,0,0.0,0,1,0,0.0,81,0.0,1.23
094.tiff,human breast cancer,94,26.0,1.3105929473083466,0,0,0,0,0,0,,0,0,0,,81,0.0,0.81
201.tiff,canine lung cancer,201,-1.5,-0.946875391870737,31314,15848,20,5,1,14,0.25,17,49,15782,0.0010726905603230693,17,1.0,2.33
201.tiff,canine lung cancer,201,1.0,0.5838737142384052,21744,12973,20,5,1,14,0.25,17,49,12907,0.0013104139366376321,17,1.0,1.02
201.tiff,canine lung cancer,201,2.0,1.196173356682062,10318,7952,20,5,1,14,0.25,17,49,7886,0.002137826961770624,17,1.0,0.72
201.tiff,canine lung cancer,201,3.0,1.808472999125719,3412,3129,20,5,1,14,0.25,17,48,3064,0.005433045701502077,17,1.0,0.6
201.tiff,canine lung cancer,201,4.0,2.4207726415693758,780,752,20,5,1,14,0.25,17,36,699,0.022606382978723406,17,1.0,0.6
201.tiff,canine lung cancer,201,5.0,3.0330722840130324,143,141,20,5,1,14,0.25,12,14,115,0.0851063829787234,17,0.7058823529411765,0.52
201.tiff,canine lung cancer,201,6.0,3.6453719264566895,25,23,20,5,1,14,0.25,6,1,16,0.2608695652173913,17,0.35294117647058826,0.56
201.tiff,canine lung cancer,201,8.0,4.869971211344003,2,1,1,0,0,1,0.0,0,0,1,0.0,17,0.0,0.56
201.tiff,canine lung cancer,201,10.0,6.0945704962313165,0,0,0,0,0,0,,0,0,0,,17,0.0,0.5
201.tiff,canine lung cancer,201,12.0,7.319169781118631,0,0,0,0,0,0,,0,0,0,,17,0.0,0.51
201.tiff,canine lung cancer,201,15.0,9.1560687084496,0,0,0,0,0,0,,0,0,0,,17,0.0,0.48
201.tiff,canine lung cancer,201,18.0,10.992967635780571,0,0,0,0,0,0,,0,0,0,,17,0.0,0.52
201.tiff,canine lung cancer,201,22.0,13.4421662055552,0,0,0,0,0,0,,0,0,0,,17,0.0,0.5
201.tiff,canine lung cancer,201,26.0,15.891364775329826,0,0,0,0,0,0,,0,0,0,,17,0.0,0.5
233.tiff,canine lung cancer,233,-1.5,-0.23124976717382667,50664,17614,20,7,3,10,0.35,17,22,17575,0.0009651413648234359,17,1.0,2.85
233.tiff,canine lung cancer,233,1.0,0.1277790788590908,34461,15074,20,7,3,10,0.35,17,21,15036,0.0011277696696298262,17,1.0,1.06
233.tiff,canine lung cancer,233,2.0,0.2713906172722578,21685,11745,20,7,3,10,0.35,17,21,11707,0.0014474244359301831,17,1.0,0.93
233.tiff,canine lung cancer,233,3.0,0.41500215568542476,13396,8778,20,7,3,10,0.35,17,21,8740,0.0019366598313966736,17,1.0,0.7
233.tiff,canine lung cancer,233,4.0,0.5586136940985917,6960,5370,20,7,3,10,0.35,17,19,5334,0.003165735567970205,17,1.0,0.59
233.tiff,canine lung cancer,233,5.0,0.7022252325117587,3209,2732,20,7,3,10,0.35,17,16,2699,0.006222547584187409,17,1.0,0.55
233.tiff,canine lung cancer,233,6.0,0.8458367709249257,1348,1207,20,7,3,10,0.35,16,14,1177,0.013256006628003313,17,0.9411764705882353,0.53
233.tiff,canine lung cancer,233,8.0,1.1330598477512597,215,208,20,7,3,10,0.35,11,7,190,0.052884615384615384,17,0.6470588235294118,0.49
233.tiff,canine lung cancer,233,10.0,1.4202829245775936,33,32,20,7,3,10,0.35,7,4,21,0.21875,17,0.4117647058823529,0.45
233.tiff,canine lung cancer,233,12.0,1.7075060014039276,3,2,2,1,0,1,0.5,1,0,1,0.5,17,0.058823529411764705,0.45
