file_name,seed_index,condition,my_mpp,nb_mpp,my_radius,nb_radius,my_tp_10,my_tp_20,my_tp_30,nb_tp_10,nb_tp_20,nb_tp_30,my_contested_10,my_contested_20,my_contested_30,my_n_gt_mitotic,nb_n_gt_mitotic,my_nearest_other,nb_nearest_other,seed_is_mitotic,seed_is_unanimous,seed_click_matches,seed_border_ok,tpl_patch_readable,my_offset,nb_offset,od_descending,od_nan,base_odd,base_le_51
230.tiff,1,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,12,12,6,12,12,2,7,7,17,17,102.18,102.18,True,True,True,True,True,6.0,6.0,True,0,True,True
230.tiff,1,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,12,12,6,12,12,2,6,6,17,17,102.18,102.18,True,True,True,True,True,1.0,1.0,True,0,True,True
230.tiff,2,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,10,11,6,10,11,2,4,5,17,17,452.73,452.73,True,True,True,True,True,0.0,0.0,True,0,True,True
230.tiff,2,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,10,11,6,10,11,2,4,5,17,17,452.73,452.73,True,True,True,True,True,0.0,0.0,True,0,True,True
230.tiff,2,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,12,15,6,12,15,2,6,8,17,17,452.73,452.73,True,True,True,True,True,2.693,2.693,True,0,True,True
233.tiff,0,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,8,9,6,8,9,1,1,2,17,17,449.81,449.81,True,True,True,True,True,0.0,0.0,True,0,True,True
233.tiff,0,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,7,8,10,7,8,10,1,2,3,17,17,449.81,449.81,True,True,True,True,True,1.414,1.414,True,0,True,True
233.tiff,0,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,7,9,6,7,9,1,2,3,17,17,449.81,449.81,True,True,True,True,True,0.0,0.0,True,0,True,True
233.tiff,1,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,8,9,6,8,9,1,1,1,17,17,350.07,350.07,True,True,True,True,True,0.0,0.0,True,0,True,True
233.tiff,1,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,7,8,9,7,8,9,1,1,1,17,17,350.07,350.07,True,True,True,True,True,5.0,5.0,True,0,True,True
233.tiff,1,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,8,10,12,8,10,12,2,3,3,17,17,350.07,350.07,True,True,True,True,True,1.414,1.414,True,0,True,True
233.tiff,2,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,7,8,9,7,8,9,1,1,1,17,17,548.34,548.34,True,True,True,True,True,0.0,0.0,True,0,True,True
233.tiff,2,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,8,10,6,8,10,1,1,1,17,17,548.34,548.34,True,True,True,True,True,8.062,8.062,True,0,True,True
233.tiff,2,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,8,11,6,8,11,1,2,3,17,17,548.34,548.34,True,True,True,True,True,2.236,2.236,True,0,True,True
235.tiff,0,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,4,4,7,4,4,7,1,1,1,21,21,367.73,367.73,True,True,True,True,True,0.0,0.0,True,0,True,True
235.tiff,0,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,4,4,6,4,4,6,1,1,1,21,21,367.73,367.73,True,True,True,True,True,6.671,6.671,True,0,True,True
235.tiff,0,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,3,4,3,3,4,0,0,0,21,21,367.73,367.73,True,True,True,True,True,2.693,2.693,True,0,True,True
235.tiff,1,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,4,4,3,4,4,0,1,1,21,21,609.38,609.38,True,True,True,True,True,0.0,0.0,True,0,True,True
235.tiff,1,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,4,6,3,4,6,0,1,1,21,21,609.38,609.38,True,True,True,True,True,6.185,6.185,True,0,True,True
235.tiff,1,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,3,5,3,3,5,0,0,0,21,21,609.38,609.38,True,True,True,True,True,3.808,3.808,True,0,True,True
235.tiff,2,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,3,6,3,3,6,1,1,1,21,21,611.65,611.65,True,True,True,True,True,0.0,0.0,True,0,True,True
235.tiff,2,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,4,4,5,4,4,5,1,1,1,21,21,611.65,611.65,True,True,True,True,True,1.118,1.118,True,0,True,True
235.tiff,2,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,3,3,3,3,3,0,0,0,21,21,611.65,611.65,True,True,True,True,True,2.55,2.55,True,0,True,True
242.tiff,0,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,1,1,0,1,1,0,0,0,26,26,323.21,323.21,True,True,True,True,True,0.0,0.0,True,0,True,True
242.tiff,0,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,0,0,0,0,0,0,0,0,26,26,323.21,323.21,True,True,True,True,True,5.0,5.0,True,0,True,True
242.tiff,0,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,0,0,0,0,0,0,0,0,26,26,323.21,323.21,True,True,True,True,True,2.5,2.5,True,0,True,True
242.tiff,1,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,1,1,1,1,1,1,0,0,0,26,26,873.39,873.39,True,True,True,True,True,0.0,0.0,True,0,True,True
