subset,domain,file_name,condition,rank_key,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
original_14,canine soft tissue sarcoma,459.tiff,mass_only,chromatin_od,3,27,53,81,0.9,0.8833333333333333,0.9
original_14,canine soft tissue sarcoma,459.tiff,mass_only,tm_score,3,30,57,82,1.0,0.95,0.9111111111111111
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_1,chromatin_od,3,28,53,80,0.9333333333333333,0.8833333333333333,0.8888888888888888
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_1,tm_score,3,29,56,80,0.9666666666666667,0.9333333333333333,0.8888888888888888
original_14,canine soft tissue sarcoma,460.tiff,default_51,chromatin_od,3,24,49,53,0.8,0.8166666666666667,0.5888888888888889
original_14,canine soft tissue sarcoma,460.tiff,default_51,tm_score,3,20,36,46,0.6666666666666666,0.6,0.5111111111111111
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_0,chromatin_od,3,17,22,24,0.5666666666666667,0.36666666666666664,0.26666666666666666
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_0,tm_score,3,5,10,13,0.16666666666666666,0.16666666666666666,0.14444444444444443
original_14,canine soft tissue sarcoma,460.tiff,mass_only,chromatin_od,3,26,49,53,0.8666666666666667,0.8166666666666667,0.5888888888888889
original_14,canine soft tissue sarcoma,460.tiff,mass_only,tm_score,3,21,37,42,0.7,0.6166666666666667,0.4666666666666667
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_1,chromatin_od,3,25,48,52,0.8333333333333334,0.8,0.5777777777777777
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_1,tm_score,3,20,36,45,0.6666666666666666,0.6,0.5
testing_35,canine soft tissue sarcoma,410.tiff,default_51,chromatin_od,3,10,13,13,0.3333333333333333,0.21666666666666667,0.14444444444444443
testing_35,canine soft tissue sarcoma,410.tiff,default_51,tm_score,3,6,9,12,0.2,0.15,0.13333333333333333
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_0,chromatin_od,3,6,6,6,0.2,0.1,0.06666666666666667
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_0,tm_score,3,5,5,6,0.16666666666666666,0.08333333333333333,0.06666666666666667
testing_35,canine soft tissue sarcoma,410.tiff,mass_only,chromatin_od,3,10,15,15,0.3333333333333333,0.25,0.16666666666666666
testing_35,canine soft tissue sarcoma,410.tiff,mass_only,tm_score,3,10,12,14,0.3333333333333333,0.2,0.15555555555555556
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_1,chromatin_od,3,9,14,14,0.3,0.23333333333333334,0.15555555555555556
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_1,tm_score,3,7,7,9,0.23333333333333334,0.11666666666666667,0.1
testing_35,canine soft tissue sarcoma,425.tiff,default_51,chromatin_od,3,27,42,42,0.9,0.7,0.4666666666666667
testing_35,canine soft tissue sarcoma,425.tiff,default_51,tm_score,3,21,27,30,0.7,0.45,0.3333333333333333
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_0,chromatin_od,3,28,41,42,0.9333333333333333,0.6833333333333333,0.4666666666666667
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_0,tm_score,3,17,25,28,0.5666666666666667,0.4166666666666667,0.3111111111111111
testing_35,canine soft tissue sarcoma,425.tiff,mass_only,chromatin_od,3,24,32,32,0.8,0.5333333333333333,0.35555555555555557
testing_35,canine soft tissue sarcoma,425.tiff,mass_only,tm_score,3,15,18,21,0.5,0.3,0.23333333333333334
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_1,chromatin_od,3,27,41,41,0.9,0.6833333333333333,0.45555555555555555
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_1,tm_score,3,21,27,30,0.7,0.45,0.3333333333333333
testing_35,canine soft tissue sarcoma,435.tiff,default_51,chromatin_od,3,18,25,32,0.6,0.4166666666666667,0.35555555555555557
testing_35,canine soft tissue sarcoma,435.tiff,default_51,tm_score,3,11,19,27,0.36666666666666664,0.31666666666666665,0.3
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_0,chromatin_od,3,13,17,25,0.43333333333333335,0.2833333333333333,0.2777777777777778
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_0,tm_score,3,7,13,15,0.23333333333333334,0.21666666666666667,0.16666666666666666
testing_35,canine soft tissue sarcoma,435.tiff,mass_only,chromatin_od,3,15,26,32,0.5,0.43333333333333335,0.35555555555555557
testing_35,canine soft tissue sarcoma,435.tiff,mass_only,tm_score,3,11,21,25,0.36666666666666664,0.35,0.2777777777777778
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_1,chromatin_od,3,17,25,33,0.5666666666666667,0.4166666666666667,0.36666666666666664
