file_name,seed_index,pass_name,n_clicks,statistic,contrast,auc,ci_lo,ci_hi,n_pos,n_neg
301.tiff,4,1click,1,cos_lunit_dino_vits16_16um_cl2n,tp_vs_lookalike,0.7178,0.662,0.7736,217,107
301.tiff,4,1click,1,cos_lunit_dino_vits16_16um_cl2n,tp_vs_unannotated,0.9028,0.8756,0.93,217,20045
301.tiff,4,1click,1,cos_lunit_dino_vits16_16um_cl2n_snap,tp_vs_lookalike,0.6967,0.6391,0.7542,217,107
301.tiff,4,1click,1,cos_lunit_dino_vits16_16um_cl2n_snap,tp_vs_unannotated,0.9022,0.8749,0.9294,217,20045
301.tiff,4,1click,1,cos_resnet18_in1k,tp_vs_lookalike,0.5529,0.4872,0.6186,217,107
301.tiff,4,1click,1,cos_resnet18_in1k,tp_vs_unannotated,0.5377,0.4983,0.5771,217,20045
301.tiff,4,1click,1,cos_resnet18_in1k_cl2n,tp_vs_lookalike,0.5846,0.5201,0.6491,217,107
301.tiff,4,1click,1,cos_resnet18_in1k_cl2n,tp_vs_unannotated,0.5942,0.5542,0.6343,217,20045
301.tiff,4,1click,1,cos_resnet18_in1k_cl2n_snap,tp_vs_lookalike,0.5784,0.5137,0.6432,217,107
301.tiff,4,1click,1,cos_resnet18_in1k_cl2n_snap,tp_vs_unannotated,0.5932,0.5531,0.6332,217,20045
301.tiff,4,1click,1,cos_resnet18_in1k_16um,tp_vs_lookalike,0.6313,0.5691,0.6934,217,107
301.tiff,4,1click,1,cos_resnet18_in1k_16um,tp_vs_unannotated,0.751,0.7133,0.7888,217,20045
301.tiff,4,1click,1,cos_resnet18_in1k_16um_cl2n,tp_vs_lookalike,0.6461,0.5849,0.7073,217,107
301.tiff,4,1click,1,cos_resnet18_in1k_16um_cl2n,tp_vs_unannotated,0.8049,0.7696,0.8401,217,20045
301.tiff,4,1click,1,cos_resnet18_in1k_16um_cl2n_snap,tp_vs_lookalike,0.6517,0.5908,0.7126,217,107
301.tiff,4,1click,1,cos_resnet18_in1k_16um_cl2n_snap,tp_vs_unannotated,0.8205,0.7862,0.8548,217,20045
301.tiff,4,1click,1,cos_rawpixel_ccoeff,tp_vs_lookalike,0.6371,0.5753,0.6988,217,107
