scope,group,pair,K,n_roi,n_clicks,pooled_delta_precision,mean_roi_summed_delta_tp,wins,losses,ties,ties_cancelling,n_nonzero,exact_p,min_attainable_p,mc_p,mc_extreme,mc_agrees,holm_family,holm_p,ci_low,ci_high,boot_share_ge_0,boot_share_le_0,t_ci_low,t_ci_high,n_same_direction,ci_excludes_0,majority_of_all_rois,majority_of_nonzero_rois,d5_bar_met,t_ci_excludes_0,boot_share_0_or_opposite,d5_robustness
domain,canine soft tissue sarcoma,hem_bbox - default_51,20,7,21,-0.09761904761904762,-5.857142857142857,0,6,1,0,6,0.03125,0.03125,0.031159844200778997,6231,True,,,,,,,,,6,,,,,,,
domain,canine soft tissue sarcoma,hem_bbox - default_51,30,7,21,-0.06666666666666667,-6.0,1,4,2,1,5,0.125,0.0625,0.12512437437812812,25024,True,,,,,,,,,4,,,,,,,
domain,canine soft tissue sarcoma,hem_bbox - gray_bbox,10,7,21,-0.08095238095238096,-2.4285714285714284,1,5,1,0,6,0.125,0.03125,0.12383938080309599,24767,True,,,,,,,,,5,,,,,,,
domain,canine soft tissue sarcoma,hem_bbox - gray_bbox,20,7,21,-0.07142857142857142,-4.285714285714286,0,4,3,1,4,0.125,0.125,0.12416937915310423,24833,True,,,,,,,,,4,,,,,,,
domain,canine soft tissue sarcoma,hem_bbox - gray_bbox,30,7,21,-0.05396825396825397,-4.857142857142857,1,4,2,1,5,0.125,0.0625,0.12488937555312224,24977,True,,,,,,,,,4,,,,,,,
domain,human breast cancer,gray_bbox - default_51,10,7,21,-0.014285714285714285,-0.42857142857142855,1,2,4,0,3,0.5,0.25,0.5013474932625337,100269,True,,,,,,,,,2,,,,,,,
domain,human breast cancer,gray_bbox - default_51,20,7,21,-0.05476190476190476,-3.2857142857142856,1,6,0,0,7,0.0625,0.015625,0.06279968600156999,12559,True,,,,,,,,,6,,,,,,,
domain,human breast cancer,gray_bbox - default_51,30,7,21,-0.05238095238095238,-4.714285714285714,1,5,1,0,6,0.0625,0.03125,0.06265468672656636,12530,True,,,,,,,,,5,,,,,,,
domain,human breast cancer,hem_bbox - default_51,10,7,21,-0.014285714285714285,-0.42857142857142855,1,3,3,0,4,0.625,0.125,0.6255318723406383,125106,True,,,,,,,,,3,,,,,,,
domain,human breast cancer,hem_bbox - default_51,20,7,21,-0.08333333333333333,-5.0,1,6,0,0,7,0.046875,0.015625,0.04700476497617512,9400,True,,,,,,,,,6,,,,,,,
domain,human breast cancer,hem_bbox - default_51,30,7,21,-0.06825396825396825,-6.142857142857143,1,4,2,2,5,0.125,0.0625,0.12649936750316249,25299,True,,,,,,,,,4,,,,,,,
domain,human breast cancer,hem_bbox - gray_bbox,10,7,21,0.0,0.0,2,2,3,0,4,1.0,0.125,1.0,200000,True,,,,,,,,,0,,,,,,,
domain,human breast cancer,hem_bbox - gray_bbox,20,7,21,-0.02857142857142857,-1.7142857142857142,1,4,2,2,5,0.25,0.0625,0.24946875265623672,49893,True,,,,,,,,,4,,,,,,,
domain,human breast cancer,hem_bbox - gray_bbox,30,7,21,-0.015873015873015872,-1.4285714285714286,2,5,0,0,7,0.265625,0.015625,0.2653336733316333,53066,True,,,,,,,,,5,,,,,,,
domain,human melanoma,gray_bbox - default_51,10,7,21,-0.0380952380952381,-1.1428571428571428,0,4,3,0,4,0.125,0.125,0.12560937195314023,25121,True,,,,,,,,,4,,,,,,,
domain,human melanoma,gray_bbox - default_51,20,7,21,-0.047619047619047616,-2.857142857142857,1,6,0,0,7,0.0625,0.015625,0.06232968835155824,12465,True,,,,,,,,,6,,,,,,,
domain,human melanoma,gray_bbox - default_51,30,7,21,-0.03650793650793651,-3.2857142857142856,0,6,1,1,6,0.03125,0.03125,0.030449847750761247,6089,True,,,,,,,,,6,,,,,,,
domain,human melanoma,hem_bbox - default_51,10,7,21,-0.06190476190476191,-1.8571428571428572,0,6,1,0,6,0.03125,0.03125,0.03068484657576712,6136,True,,,,,,,,,6,,,,,,,
domain,human melanoma,hem_bbox - default_51,20,7,21,-0.05714285714285714,-3.4285714285714284,1,5,1,1,6,0.0625,0.03125,0.06332968335158325,12665,True,,,,,,,,,5,,,,,,,
domain,human melanoma,hem_bbox - default_51,30,7,21,-0.05396825396825397,-4.857142857142857,0,7,0,0,7,0.015625,0.015625,0.01570992145039275,3141,True,,,,,,,,,7,,,,,,,
domain,human melanoma,hem_bbox - gray_bbox,10,7,21,-0.023809523809523808,-0.7142857142857143,0,4,3,0,4,0.125,0.125,0.12507937460312699,25015,True,,,,,,,,,4,,,,,,,
domain,human melanoma,hem_bbox - gray_bbox,20,7,21,-0.009523809523809525,-0.5714285714285714,2,4,1,0,6,0.5,0.03125,0.5006324968375158,100126,True,,,,,,,,,4,,,,,,,
domain,human melanoma,hem_bbox - gray_bbox,30,7,21,-0.01746031746031746,-1.5714285714285714,0,4,3,1,4,0.125,0.125,0.12603936980315097,25207,True,,,,,,,,,4,,,,,,,
domain,human neuroendocrine tumor,gray_bbox - default_51,10,7,21,-0.05714285714285714,-1.7142857142857142,0,6,1,0,6,0.03125,0.03125,0.0314198429007855,6283,True,,,,,,,,,6,,,,,,,
domain,human neuroendocrine tumor,gray_bbox - default_51,20,7,21,-0.0380952380952381,-2.2857142857142856,0,7,0,0,7,0.015625,0.015625,0.015679921600392,3135,True,,,,,,,,,7,,,,,,,
domain,human neuroendocrine tumor,gray_bbox - default_51,30,7,21,-0.03333333333333333,-3.0,0,5,2,2,5,0.0625,0.0625,0.062144689276553616,12428,True,,,,,,,,,5,,,,,,,
domain,human neuroendocrine tumor,hem_bbox - default_51,10,7,21,-0.08095238095238096,-2.4285714285714284,0,6,1,1,6,0.03125,0.03125,0.03183984080079599,6367,True,,,,,,,,,6,,,,,,,
domain,human neuroendocrine tumor,hem_bbox - default_51,20,7,21,-0.06904761904761905,-4.142857142857143,0,7,0,0,7,0.015625,0.015625,0.015879920600396998,3175,True,,,,,,,,,7,,,,,,,
